experiment,run,key,value
egoper_probe_coffee,capable-mare-312,C,1.0
egoper_probe_coffee,capable-mare-312,dim,1024
egoper_probe_coffee,capable-mare-312,n_videos,68
egoper_probe_coffee,capable-mare-312,n_windows,14744
egoper_probe_coffee,capable-mare-312,probe,logreg_balanced
egoper_probe_coffee,capable-mare-312,seed,0
egoper_probe_coffee,capable-mare-312,task,coffee
egoper_probe_coffee,capable-mare-312,test_frac,0.3
egoper_probe_coffee,secretive-robin-939,C,0.001
egoper_probe_coffee,secretive-robin-939,dim,24576
egoper_probe_coffee,secretive-robin-939,knn_k,10
egoper_probe_coffee,secretive-robin-939,n_videos,68
egoper_probe_coffee,secretive-robin-939,n_windows,14744
egoper_probe_coffee,secretive-robin-939,oneclass,knn
egoper_probe_coffee,secretive-robin-939,probe,logreg_balanced
egoper_probe_coffee,secretive-robin-939,seed,0
egoper_probe_coffee,secretive-robin-939,task,coffee
egoper_probe_coffee,secretive-robin-939,test_frac,0.3
egoper_probe_coffee,secretive-robin-939,view,feats_sf
exprt_action_probe,augmented_k128,augment,mirror+temporal+crop
exprt_action_probe,augmented_k128,augment,mirror+temporal+crop
exprt_action_probe,augmented_k128,class_counts,"{'put': 8, 'pour': 7, 'mix': 3, 'take': 2, 'open': 2, 'close': 2}"
exprt_action_probe,augmented_k128,class_counts,"{'put': 8, 'pour': 7, 'take': 1, 'open': 1, 'close': 1, 'mix': 1}"
exprt_action_probe,augmented_k128,classes,"['close', 'mix', 'open', 'pour', 'put', 'take']"
exprt_action_probe,augmented_k128,classes,"['close', 'mix', 'open', 'pour', 'put', 'take']"
exprt_action_probe,augmented_k128,eval,video-LOO
exprt_action_probe,augmented_k128,eval,video-LOO
exprt_action_probe,augmented_k128,feature,vjepa_encoder_meanpool_1024
exprt_action_probe,augmented_k128,feature,vjepa_encoder_meanpool_1024
exprt_action_probe,augmented_k128,k_aug,128
exprt_action_probe,augmented_k128,k_aug,128
exprt_action_probe,augmented_k128,n_segments,24
exprt_action_probe,augmented_k128,n_segments,19
exprt_action_probe,augmented_k128,perm_reps,50
exprt_action_probe,augmented_k128,perm_reps,200
exprt_action_probe,augmented_k4,augment,mirror+temporal+crop
exprt_action_probe,augmented_k4,class_counts,"{'put': 8, 'pour': 7, 'take': 1, 'open': 1, 'close': 1, 'mix': 1}"
exprt_action_probe,augmented_k4,classes,"['close', 'mix', 'open', 'pour', 'put', 'take']"
exprt_action_probe,augmented_k4,eval,video-LOO
exprt_action_probe,augmented_k4,feature,vjepa_encoder_meanpool_1024
exprt_action_probe,augmented_k4,k_aug,4
exprt_action_probe,augmented_k4,n_segments,19
exprt_action_probe,augmented_k4,perm_reps,5
exprt_action_probe,vjepa_meanpool_logreg_pilot,class_counts,"{'put': 8, 'pour': 7, 'take': 1, 'open': 1, 'close': 1, 'mix': 1}"
exprt_action_probe,vjepa_meanpool_logreg_pilot,class_counts,"{'put': 8, 'pour': 7, 'take': 1, 'open': 1, 'close': 1, 'mix': 1}"
exprt_action_probe,vjepa_meanpool_logreg_pilot,classes,"['close', 'mix', 'open', 'pour', 'put', 'take']"
exprt_action_probe,vjepa_meanpool_logreg_pilot,classes,"['close', 'mix', 'open', 'pour', 'put', 'take']"
exprt_action_probe,vjepa_meanpool_logreg_pilot,eval,LOO
exprt_action_probe,vjepa_meanpool_logreg_pilot,feature,vjepa_encoder_meanpool_1024
exprt_action_probe,vjepa_meanpool_logreg_pilot,feature,vjepa_encoder_meanpool_1024
exprt_action_probe,vjepa_meanpool_logreg_pilot,n_classes,6
exprt_action_probe,vjepa_meanpool_logreg_pilot,n_classes,6
exprt_action_probe,vjepa_meanpool_logreg_pilot,n_segments,19
exprt_action_probe,vjepa_meanpool_logreg_pilot,n_segments,19
exprt_action_probe,vjepa_meanpool_logreg_pilot,n_videos,4
exprt_action_probe,vjepa_meanpool_logreg_pilot,probe,logreg_balanced
exprt_action_probe,vjepa_meanpool_logreg_pilot,probe,logreg_balanced
exprt_anomaly,binary_fold0_seed0,batch_size,8
exprt_anomaly,binary_fold0_seed0,batch_size,16
exprt_anomaly,binary_fold0_seed0,epochs,2
exprt_anomaly,binary_fold0_seed0,epochs,30
exprt_anomaly,binary_fold0_seed0,fold,0
exprt_anomaly,binary_fold0_seed0,fold,0
exprt_anomaly,binary_fold0_seed0,lr,0.001
exprt_anomaly,binary_fold0_seed0,lr,0.001
exprt_anomaly,binary_fold0_seed0,n_clips,824
exprt_anomaly,binary_fold0_seed0,n_clips,2500
exprt_anomaly,binary_fold0_seed0,n_test_clips,473
exprt_anomaly,binary_fold0_seed0,n_test_clips,431
exprt_anomaly,binary_fold0_seed0,n_test_videos,5
exprt_anomaly,binary_fold0_seed0,n_test_videos,7
exprt_anomaly,binary_fold0_seed0,n_train_clips,351
exprt_anomaly,binary_fold0_seed0,n_train_clips,2069
exprt_anomaly,binary_fold0_seed0,n_videos,10
exprt_anomaly,binary_fold0_seed0,n_videos,40
exprt_anomaly,binary_fold0_seed0,pooler_lr,0.0001
exprt_anomaly,binary_fold0_seed0,pooler_lr,0.0001
exprt_anomaly,binary_fold0_seed0,seed,0
exprt_anomaly,binary_fold0_seed0,seed,0
exprt_anomaly,binary_fold0_seed0,target,binary
exprt_anomaly,binary_fold0_seed0,target,binary
exprt_anomaly,binary_fold0_seed0,train_pooler,False
exprt_anomaly,binary_fold0_seed0,train_pooler,False
exprt_anomaly,binary_fold0_seed0,warmstart,True
exprt_anomaly,binary_fold0_seed0,warmstart,True
exprt_anomaly,binary_fold1_seed0,batch_size,16
exprt_anomaly,binary_fold1_seed0,batch_size,8
exprt_anomaly,binary_fold1_seed0,epochs,30
exprt_anomaly,binary_fold1_seed0,epochs,2
exprt_anomaly,binary_fold1_seed0,fold,1
exprt_anomaly,binary_fold1_seed0,fold,1
exprt_anomaly,binary_fold1_seed0,lr,0.001
exprt_anomaly,binary_fold1_seed0,lr,0.001
exprt_anomaly,binary_fold1_seed0,n_clips,2500
exprt_anomaly,binary_fold1_seed0,n_clips,824
exprt_anomaly,binary_fold1_seed0,n_test_clips,448
exprt_anomaly,binary_fold1_seed0,n_test_clips,351
exprt_anomaly,binary_fold1_seed0,n_test_videos,8
exprt_anomaly,binary_fold1_seed0,n_test_videos,5
exprt_anomaly,binary_fold1_seed0,n_train_clips,2052
exprt_anomaly,binary_fold1_seed0,n_train_clips,473
exprt_anomaly,binary_fold1_seed0,n_videos,40
exprt_anomaly,binary_fold1_seed0,n_videos,10
exprt_anomaly,binary_fold1_seed0,pooler_lr,0.0001
exprt_anomaly,binary_fold1_seed0,pooler_lr,0.0001
exprt_anomaly,binary_fold1_seed0,seed,0
exprt_anomaly,binary_fold1_seed0,seed,0
exprt_anomaly,binary_fold1_seed0,target,binary
exprt_anomaly,binary_fold1_seed0,target,binary
exprt_anomaly,binary_fold1_seed0,train_pooler,False
exprt_anomaly,binary_fold1_seed0,train_pooler,False
exprt_anomaly,binary_fold1_seed0,warmstart,True
exprt_anomaly,binary_fold1_seed0,warmstart,True
exprt_anomaly,binary_pooled_oof,epochs,200
exprt_anomaly,binary_pooled_oof,features_dir,pooled
exprt_anomaly,binary_pooled_oof,lr,0.01
exprt_anomaly,binary_pooled_oof,n_clips,2500
exprt_anomaly,binary_pooled_oof,n_splits,5
exprt_anomaly,binary_pooled_oof,n_videos,40
exprt_anomaly,binary_pooled_oof,seeds,5
exprt_anomaly,binary_pooled_oof,target,binary
exprt_anomaly,binary_pooled_oof,warmstart,True
exprt_anomaly,binary_pooled_oof,weight_decay,0.001
exprt_anomaly,binary_seed0_fold0,fold,0
exprt_anomaly,binary_seed0_fold0,n_test,431
exprt_anomaly,binary_seed0_fold0,n_train,2069
exprt_anomaly,binary_seed0_fold0,seed,0
exprt_anomaly,binary_seed0_fold0,target,binary
exprt_anomaly,binary_seed0_fold0,test_videos,7
exprt_anomaly,binary_seed0_fold1,fold,1
exprt_anomaly,binary_seed0_fold1,n_test,448
exprt_anomaly,binary_seed0_fold1,n_train,2052
exprt_anomaly,binary_seed0_fold1,seed,0
exprt_anomaly,binary_seed0_fold1,target,binary
exprt_anomaly,binary_seed0_fold1,test_videos,8
exprt_anomaly,binary_seed0_fold2,fold,2
exprt_anomaly,binary_seed0_fold2,n_test,402
