cam1_stem,pour_idx,rise_t,plateau_t,clip_start_s,clip_end_s,weight_g,plateau_end_t,flags,exclude
20260713_150156_967_GX011265,1,14.406,14.698,13.406,15.698,91.4,29.204,ends_at_plateau,blurry_unreliable_gt
20260713_154400_425_GX011268,1,2.744,4.897,1.744,5.897,107.0,6.932,,
20260713_154400_425_GX011268,2,24.341,27.87,23.341,28.87,243.0,29.738,,
20260713_154400_425_GX011268,3,35.911,37.788,34.911,38.788,65.0,39.615,,
20260713_154400_425_GX011268,4,45.637,49.049,44.637,50.049,171.0,50.826,,
20260713_154400_425_GX011268,5,57.199,57.808,56.199,58.808,21.0,60.01,,
20260713_154400_425_GX011268,6,65.741,68.527,64.741,69.527,128.0,70.07,,
20260713_154400_425_GX011268,7,75.809,79.479,74.809,80.479,254.0,81.189,,
20260713_154658_692_GX011269,1,2.085,4.296,1.085,5.296,135.0,5.989,,
20260713_154658_692_GX011269,2,21.78,25.726,20.78,26.726,322.0,27.536,,
20260713_154658_692_GX011269,3,32.841,36.511,31.841,37.511,335.0,38.538,,
20260713_154658_692_GX011269,4,44.169,45.295,43.169,46.295,48.0,47.214,,
20260713_154658_692_GX011269,5,52.844,55.43,51.844,56.43,118.0,56.932,,
20260713_154658_692_GX011269,6,62.379,66.074,61.379,67.074,214.0,67.751,,
20260713_154658_692_GX011269,7,73.515,75.767,72.515,76.767,141.0,78.629,,
20260713_154911_191_GX011270,1,2.169,3.612,1.169,4.612,86.0,5.197,,
20260713_154911_191_GX011270,2,11.22,13.73,10.22,14.73,156.0,15.148,,
20260713_154911_191_GX011270,3,20.771,23.891,19.771,24.891,266.0,26.076,,
20260713_154911_191_GX011270,4,31.823,33.242,30.823,34.242,73.0,35.002,,
20260713_154911_191_GX011270,5,40.691,41.583,39.691,42.583,29.0,43.744,,
20260713_154911_191_GX011270,6,49.641,52.361,48.641,53.361,206.0,54.346,,
20260713_154911_191_GX011270,7,60.677,64.481,59.677,65.481,295.0,66.074,,
20260713_154911_191_GX011270,8,72.714,75.492,71.714,76.492,172.0,77.686,,
20260713_154911_191_GX011270,9,84.159,86.453,83.159,87.453,217.0,90.666,,
20260713_155200_483_GX011272,1,13.497,14.523,12.497,15.523,41.0,16.708,,
20260713_155200_483_GX011272,2,22.064,25.092,21.064,26.092,238.0,26.985,,
20260713_155200_483_GX011272,3,32.591,36.787,31.591,37.787,318.0,38.755,,
20260713_155200_483_GX011272,4,53.795,56.807,52.795,57.807,229.0,58.517,,
20260713_155200_483_GX011272,5,64.056,67.142,63.056,68.142,362.0,68.894,,
20260713_155200_483_GX011272,6,75.492,77.01,74.492,78.01,130.0,79.896,,
20260713_155545_050_GX011273,1,4.488,6.99,3.488,7.99,70.0,9.259,,
20260713_155545_050_GX011273,2,15.04,18.569,14.04,19.569,140.0,20.754,,
20260713_155545_050_GX011273,3,26.577,27.135,25.577,28.135,20.0,29.254,,
20260713_155545_050_GX011273,4,48.665,53.487,47.665,54.487,269.0,55.772,,
20260713_155715_383_GX011274,1,3.712,7.049,2.712,7.608,68.0,7.908,,
20260713_155715_383_GX011274,2,13.647,18.527,12.647,19.527,209.0,20.729,,
20260713_155715_383_GX011274,3,27.277,32.316,26.277,33.316,244.0,34.167,,
20260713_155715_383_GX011274,4,40.307,43.502,39.307,44.502,155.0,45.379,,
20260713_155715_383_GX011274,5,52.06,53.387,51.06,54.387,31.0,56.265,,
20260713_160041_383_GX011276,1,4.83,7.624,3.83,8.624,70.0,9.051,,
20260713_160041_383_GX011276,2,14.973,17.885,13.973,18.885,111.0,20.003,,
20260713_160041_383_GX011276,3,25.926,31.715,24.926,32.715,255.0,33.617,,
20260713_160041_383_GX011276,4,40.057,43.085,39.057,44.085,132.0,44.736,,
20260713_160041_383_GX011276,5,50.709,53.495,49.709,54.495,78.0,55.289,,
20260713_160041_383_GX011276,6,61.645,62.963,60.645,63.963,50.0,66.341,,
20260713_160409_016_GX011277,1,3.645,6.139,2.645,7.139,76.0,7.799,,
20260713_160409_016_GX011277,2,12.496,16.4,11.496,17.4,182.0,18.585,,
20260713_160409_016_GX011277,3,24.141,29.655,23.141,30.655,294.0,32.416,,
20260713_160409_016_GX011277,4,38.664,41.775,37.664,42.775,137.0,44.044,,
20260713_160534_892_GX011278,1,3.846,6.148,2.846,7.148,68.0,7.683,,
20260713_160534_892_GX011278,2,12.98,13.589,11.98,14.589,15.0,15.457,,
20260713_160534_892_GX011278,3,21.338,24.65,20.338,25.65,130.0,26.443,,
20260713_160534_892_GX011278,4,31.974,38.664,30.974,39.664,326.0,40.24,,
20260713_160932_533_GX011279,1,3.779,5.581,2.779,6.581,113.0,7.691,,
20260713_160932_533_GX011279,2,14.731,16.859,13.731,17.859,144.0,18.352,,
20260713_160932_533_GX011279,3,24.675,27.402,23.675,28.402,223.0,29.354,,
20260713_160932_533_GX011279,4,36.703,40.032,35.703,41.032,210.0,41.758,,
20260713_160932_533_GX011279,5,48.757,51.159,47.757,52.159,118.0,53.095,,
20260713_160932_533_GX011279,6,60.11,61.403,59.11,62.403,35.0,62.988,,
20260713_160932_533_GX011279,7,68.694,70.662,67.694,71.662,90.0,72.664,,
20260713_161347_492_GX011281,1,2.853,4.972,1.853,5.972,123.0,7.449,,
20260713_161347_492_GX011281,2,16.283,19.194,15.283,20.194,228.0,21.305,,
20260713_161347_492_GX011281,3,28.629,30.505,27.629,31.505,93.0,32.416,,
20260713_161347_492_GX011281,4,38.08,39.806,37.08,40.806,85.0,41.55,,
20260713_161347_492_GX011281,5,47.039,50.342,46.039,51.342,241.0,51.752,,
20260713_161347_492_GX011281,6,57.975,61.962,56.975,62.962,202.0,64.715,,
20260713_161904_342_GX011282,1,2.736,4.029,1.736,5.029,58.0,6.114,,
20260713_161904_342_GX011282,2,12.396,14.606,11.396,15.606,156.0,16.275,,
20260713_161904_342_GX011282,3,33.876,36.486,32.876,37.486,181.0,38.205,,
20260713_161904_342_GX011282,4,44.419,49.416,43.419,50.416,299.0,51.927,,
20260713_162040_942_GX011283,1,3.111,4.721,2.111,5.721,59.0,6.173,,
20260713_162040_942_GX011283,2,12.004,13.822,11.004,14.822,180.0,15.891,,
20260713_162040_942_GX011283,3,21.655,23.707,20.655,24.707,206.0,25.15,,
20260713_162040_942_GX011283,4,31.106,33.3,30.106,34.3,260.0,34.726,,
20260713_163152_200_GX011287,1,3.128,4.73,2.128,5.73,71.0,6.206,,
20260713_163152_200_GX011287,2,12.371,14.781,11.371,15.781,170.0,16.275,,
20260713_163152_200_GX011287,3,31.081,33.817,30.081,34.817,217.0,35.485,,
20260713_163152_200_GX011287,4,41.533,43.435,40.533,44.435,128.0,45.12,,
20260713_163152_200_GX011287,5,50.492,51.593,49.492,52.593,49.0,53.178,,
20260713_163152_200_GX011287,6,58.55,62.638,57.55,63.638,269.0,64.731,,
20260713_163152_200_GX011287,7,70.896,72.706,69.896,73.706,91.0,74.291,,
20260713_163152_200_GX011287,8,80.238,83.033,79.238,83.917,176.0,84.217,,
20260713_163152_200_GX011287,9,90.882,92.701,89.882,93.701,74.0,94.561,,
20260713_163152_200_GX011287,10,100.817,103.637,99.817,104.637,232.0,105.238,,
20260713_163152_200_GX011287,11,112.763,113.872,111.763,114.872,44.0,115.641,,
20260713_163431_241_GX011288,1,3.203,4.605,2.203,5.605,46.0,6.24,,
20260713_163431_241_GX011288,2,12.054,15.007,11.054,16.007,193.0,16.75,,
20260713_163431_241_GX011288,3,23.707,25.234,22.707,26.234,74.0,27.269,,
