cam1_stem,pour_idx,rise_t,plateau_t,clip_start_s,clip_end_s,weight_g,plateau_end_t,flags
20260713_150345_600_GX011266,1,3.9706333333333332,11.519841666666666,2.971,11.629,347.0,11.929,
20260713_150345_600_GX011266,2,24.891533333333335,29.020658333333333,23.892,30.021,186.0,30.631,
20260713_150345_600_GX011266,3,35.677308333333336,40.98260833333333,34.677,41.983,203.0,42.693,
20260713_150345_600_GX011266,4,48.81543333333333,52.46074166666667,47.815,53.461,144.0,54.488,
20260713_150345_600_GX011266,5,59.02563333333333,63.455058333333334,58.026,64.455,182.0,64.848,
20260713_150345_600_GX011266,6,84.76801666666667,92.80938333333333,83.768,92.501,5.2,92.801,truncated
20260713_163431_241_GX011288,1,3.4951583333333334,4.546208333333333,2.495,5.546,46.0,6.056,
20260713_163431_241_GX011288,2,12.404058333333333,15.015,11.404,16.015,194.0,16.75,
20260713_163431_241_GX011288,3,24.049025,25.233541666666667,23.049,26.234,74.0,27.269,
20260713_163431_241_GX011288,4,34.00063333333333,38.063025,33.001,38.564,272.0,38.864,
20260713_163431_241_GX011288,5,46.43805833333334,47.39735,45.438,48.397,54.0,49.474,
20260713_163431_241_GX011288,6,56.773383333333335,57.023633333333336,55.773,58.024,8.0,58.625,
20260713_163431_241_GX011288,7,65.84077500000001,67.81775,64.841,68.818,131.2,70.17,
20260713_163431_241_GX011288,8,76.98524166666667,80.34693333333334,75.985,81.347,241.0,82.599,
20260713_163431_241_GX011288,9,90.10668333333334,90.765675,89.107,91.766,32.0,93.543,
20260713_163431_241_GX011288,10,100.05829166666666,104.104,99.058,105.104,304.0,106.907,
20260713_163431_241_GX011288,11,114.989875,119.01055833333334,113.99,120.011,214.0,121.138,
20260713_163431_241_GX011288,12,128.82035833333333,130.87240833333334,127.82,131.872,132.0,132.783,
20260713_163431_241_GX011288,13,140.35688333333334,140.88240833333333,139.357,141.882,29.0,145.162,
20260713_163807_308_GX011289,1,3.6619916666666668,4.320983333333333,2.662,5.321,32.0,6.607,
20260713_163807_308_GX011289,2,23.865508333333334,27.894533333333335,22.866,28.895,185.0,29.755,
20260713_163807_308_GX011289,3,36.50313333333333,41.30793333333333,35.503,42.308,232.4,43.235,
20260713_163807_308_GX011289,4,49.432716666666664,49.682966666666665,48.433,50.683,5.1,51.118,
20260713_163807_308_GX011289,5,57.99126666666667,60.82743333333333,56.991,61.827,82.0,63.08,
20260713_163807_308_GX011289,6,70.32859166666667,73.89048333333334,69.329,74.89,170.0,76.018,
