trial_id,start_wallclock,cam1_file,cam1_offset_ms,cam1_fps,cam1_duration_s,cam2_file,cam2_offset_ms,cam2_fps,cam2_duration_s,cam3_file,cam3_offset_ms,cam3_fps,cam3_duration_s,flags,source_obj,target_obj
1,2026-07-13 13:58:17.533,,,,,,,,,20260713_135817_533_GX011324.mp4,0,29.97,4.77,exclude;missing_CAM1;missing_CAM2
2,2026-07-13 14:46:57.834,20260713_144657_834_GX011263.mp4,0,119.88,3.09,,,,,,,,,exclude;missing_CAM2;missing_CAM3
3,2026-07-13 14:47:06.600,20260713_144706_600_GX011264.mp4,0,119.88,4.59,,,,,,,,,exclude;missing_CAM2;missing_CAM3
4,2026-07-13 15:01:56.967,20260713_150156_967_GX011265.mp4,0,119.88,29.21,20260713_150157_033_GX011222.mp4,66,29.97,29.23,20260713_150156_934_GX011325.mp4,-33,29.97,29.3,exclude,,
5,2026-07-13 15:03:45.600,20260713_150345_600_GX011266.mp4,0,119.88,94.43,20260713_150345_367_GX011223.mp4,-233,29.97,94.63,20260713_150345_333_GX011326.mp4,-267,29.97,94.73,,kettle,blue_mug
6,2026-07-13 15:25:33.667,20260713_152533_667_GX011267.mp4,0,119.88,7.96,20260713_152533_867_GX011224.mp4,200,29.97,15.92,20260713_152534_567_GX011327.mp4,900,29.97,15.85,exclude;duration_mismatch,
7,2026-07-13 15:44:00.425,20260713_154400_425_GX011268.mp4,0,119.88,99.26,20260713_154400_400_GX011225.mp4,-25,29.97,99.3,20260713_154400_333_GX011328.mp4,-92,29.97,99.43,,kettle,blue_mug
8,2026-07-13 15:46:58.692,20260713_154658_692_GX011269.mp4,0,119.88,82.92,20260713_154658_500_GX011226.mp4,-192,29.97,83.12,20260713_154658_467_GX011329.mp4,-225,29.97,83.12,,kettle,ikea_glass
9,2026-07-13 15:49:11.191,20260713_154911_191_GX011270.mp4,0,119.88,95.01,20260713_154911_033_GX011227.mp4,-158,29.97,125.96,20260713_154911_000_GX011330.mp4,-191,29.97,133.97,duration_mismatch,kettle,white_mug
10,2026-07-13 15:51:24.959,20260713_155124_959_GX011271.mp4,0,119.88,3.35,20260713_155124_967_GX011228.mp4,8,29.97,3.6,20260713_155128_533_GX011331.mp4,3574,29.97,9.64,exclude;duration_mismatch,kettle,glass
11,2026-07-13 15:52:00.483,20260713_155200_483_GX011272.mp4,0,119.88,86.86,20260713_155200_500_GX011229.mp4,17,29.97,86.99,20260713_155200_500_GX011332.mp4,17,29.97,86.92,,kettle,glass
12,2026-07-13 15:55:45.050,20260713_155545_050_GX011273.mp4,0,119.88,60.9,20260713_155545_333_GX011230.mp4,283,29.97,60.73,20260713_155545_533_GX011333.mp4,483,29.97,60.56,,teapot,blue_mug
13,2026-07-13 15:57:15.383,20260713_155715_383_GX011274.mp4,0,119.88,61.18,20260713_155715_433_GX011231.mp4,50,29.97,61.19,20260713_155715_600_GX011334.mp4,217,29.97,61.06,,teapot,blue_mug
14,2026-07-13 15:58:56.625,20260713_155856_625_GX011275.mp4,0,119.88,37.12,20260713_155856_967_GX011232.mp4,342,29.97,36.87,20260713_155856_633_GX011335.mp4,8,29.97,45.25,exclude;duration_mismatch
15,2026-07-13 16:00:41.383,20260713_160041_383_GX011276.mp4,0,119.88,70.84,20260713_160041_467_GX011233.mp4,84,29.97,70.9,20260713_160041_300_GX011336.mp4,-83,29.97,71.0,,teapot,white_mug
16,2026-07-13 16:04:09.016,20260713_160409_016_GX011277.mp4,0,119.88,49.31,20260713_160409_066_GX011234.mp4,50,29.97,49.28,20260713_160409_066_GX011337.mp4,50,29.97,49.35,,teapot,ikea_glass
17,2026-07-13 16:05:34.892,20260713_160534_892_GX011278.mp4,0,119.88,44.06,20260713_160534_934_GX011235.mp4,42,29.97,50.65,20260713_160534_934_GX011338.mp4,42,29.97,51.22,duration_mismatch,teapot,glass
18,2026-07-13 16:09:32.533,20260713_160932_533_GX011279.mp4,0,119.88,77.59,20260713_160932_834_GX011236.mp4,301,29.97,77.24,20260713_160932_633_GX011339.mp4,100,29.97,77.41,,bottle,blue_mug
19,2026-07-13 16:12:26.959,20260713_161226_959_GX011280.mp4,0,119.88,11.7,20260713_161226_867_GX011237.mp4,-92,29.97,6.91,20260713_161227_100_GX011340.mp4,141,29.97,11.64,exclude
20,2026-07-13 16:13:47.492,20260713_161347_492_GX011281.mp4,0,119.88,71.58,20260713_161347_400_GX011238.mp4,-92,29.97,71.74,20260713_161347_300_GX011341.mp4,-192,29.97,71.81,,bottle,white_mug
21,2026-07-13 16:19:04.342,20260713_161904_342_GX011282.mp4,0,119.88,57.09,20260713_161904_133_GX011239.mp4,-209,29.97,57.39,20260713_161904_367_GX011342.mp4,25,29.97,57.16,,bottle,glass
22,2026-07-13 16:20:40.942,20260713_162040_942_GX011283.mp4,0,119.88,50.02,20260713_162040_934_GX011240.mp4,-8,29.97,50.15,20260713_162040_934_GX011343.mp4,-8,29.97,50.25,,bottle,ikea_glass
23,2026-07-13 16:22:07.150,20260713_162207_150_GX011284.mp4,0,119.88,30.72,20260713_162207_166_GX011241.mp4,16,29.97,30.86,20260713_162207_166_GX011344.mp4,16,29.97,30.9,exclude
24,2026-07-13 16:31:52.200,20260713_163152_200_GX011287.mp4,0,119.88,120.9,20260713_163151_967_GX011243.mp4,-233,29.97,121.19,20260713_163152_066_GX011346.mp4,-134,29.97,121.12,,kettle,blue_mug
25,2026-07-13 16:34:31.241,20260713_163431_241_GX011288.mp4,0,119.88,150.15,20260713_163431_333_GX011244.mp4,92,29.97,150.02,20260713_163431_300_GX011347.mp4,59,29.97,150.12,,kettle,white_mug
26,2026-07-13 16:38:07.308,20260713_163807_308_GX011289.mp4,0,119.88,86.29,20260713_163807_333_GX011245.mp4,25,29.97,86.39,20260713_163807_300_GX011348.mp4,-8,29.97,86.42,,teapot,blue_mug
27,2026-07-13 16:41:03.625,20260713_164103_625_GX011290.mp4,0,119.88,63.17,20260713_164103_667_GX011246.mp4,42,29.97,63.16,20260713_164103_834_GX011349.mp4,209,29.97,63.13,,teapot,white_mug
