t_s,weight
0.0071,0.0
0.0154,0.0
0.0238,0.0
0.0321,0.0
0.0405,0.0
0.0488,0.0
0.0571,0.0
0.0655,0.0
0.0738,0.0
0.0822,0.0
0.0905,0.0
0.0988,0.0
0.1072,0.0
0.1155,0.0
0.1239,0.0
0.1322,0.0
0.1406,0.0
0.1489,0.0
0.1572,0.0
0.1656,0.0
0.1739,0.0
0.1823,0.0
0.1906,0.0
0.1989,0.0
0.2073,0.0
0.2156,0.0
0.224,0.0
0.2323,0.0
0.2407,0.0
0.249,0.0
0.2573,0.0
0.2657,0.0
0.274,0.0
0.2824,0.0
0.2907,0.0
0.299,0.0
0.3074,0.0
0.3157,0.0
0.3241,0.0
0.3324,0.0
0.3408,0.0
0.3491,0.0
0.3574,0.0
0.3658,0.0
0.3741,0.0
0.3825,0.0
0.3908,0.0
0.3991,0.0
0.4075,0.0
0.4158,0.0
0.4242,0.0
0.4325,0.0
0.4409,0.0
0.4492,0.0
0.4575,0.0
0.4659,0.0
0.4742,0.0
0.4826,0.0
0.4909,0.0
0.4992,0.0
0.5076,0.0
0.5159,0.0
0.5243,0.0
0.5326,0.0
0.541,0.0
0.5493,0.0
0.5576,0.0
0.566,0.0
0.5743,0.0
0.5827,0.0
0.591,0.0
0.5993,0.0
0.6077,0.0
0.616,0.0
0.6244,0.0
0.6327,0.0
0.6411,0.0
0.6494,0.0
0.6577,0.0
0.6661,0.0
0.6744,0.0
0.6828,0.0
0.6911,0.0
0.6994,0.0
0.7078,0.0
0.7161,0.0
0.7245,0.0
0.7328,0.0
0.7412,0.0
0.7495,0.0
0.7578,0.0
0.7662,0.0
0.7745,0.0
0.7829,0.0
0.7912,0.0
0.7995,0.0
0.8079,0.0
0.8162,0.0
0.8246,0.0
0.8329,0.0
0.8413,0.0
0.8496,0.0
0.8579,0.0
0.8663,0.0
0.8746,0.0
0.883,0.0
0.8913,0.0
0.8996,0.0
0.908,0.0
0.9163,0.0
0.9247,0.0
0.933,0.0
0.9414,0.0
0.9497,0.0
0.958,0.0
0.9664,0.0
0.9747,0.0
0.9831,0.0
0.9914,0.0
0.9997,0.0
1.0081,0.0
1.0164,0.0
1.0248,0.0
1.0331,0.0
1.0415,0.0
1.0498,0.0
1.0581,0.0
1.0665,0.0
1.0748,0.0
1.0832,0.0
1.0915,0.0
1.0998,0.0
1.1082,0.0
1.1165,0.0
1.1249,0.0
1.1332,0.0
1.1416,0.0
1.1499,0.0
1.1582,0.0
1.1666,0.0
1.1749,0.0
1.1833,0.0
1.1916,0.0
1.1999,0.0
1.2083,0.0
1.2166,0.0
1.225,0.0
1.2333,0.0
1.2417,0.0
1.25,0.0
1.2583,0.0
1.2667,0.0
1.275,5.3
1.2834,5.3
1.2917,5.3
1.3,5.3
1.3084,5.3
1.3167,5.3
1.3251,5.3
1.3334,5.3
1.3418,5.3
1.3501,5.3
1.3584,23.0
1.3668,23.0
1.3751,23.0
1.3835,23.0
1.3918,23.0
1.4001,23.0
1.4085,23.0
1.4168,23.0
1.4252,27.0
1.4335,27.0
1.4419,27.0
1.4502,27.0
1.4585,27.0
1.4669,27.0
1.4752,34.3
1.4836,34.3
1.4919,34.3
1.5002,34.3
1.5086,34.3
1.5169,34.3
1.5253,34.3
1.5336,34.3
1.542,34.3
1.5503,37.0
1.5586,37.0
1.567,37.0
1.5753,37.0
1.5837,37.0
1.592,37.0
1.6003,37.0
1.6087,37.0
1.617,37.0
1.6254,37.0
1.6337,37.0
1.6421,37.0
1.6504,37.0
1.6587,37.9
1.6671,38.8
1.6754,39.6
1.6838,40.5
1.6921,41.4
1.7004,42.2
1.7088,43.1
1.7171,44.0
1.7255,44.0
1.7338,44.0
1.7422,44.0
1.7505,44.9
1.7588,45.8
1.7672,46.8
1.7755,47.7
1.7839,48.6
1.7922,49.5
1.8005,50.4
1.8089,51.3
1.8172,52.2
1.8256,53.2
1.8339,54.1
1.8423,55.0
1.8506,55.9
1.8589,56.8
1.8673,57.8
1.8756,58.7
1.884,59.6
1.8923,59.8
1.9006,59.8
1.909,59.8
1.9173,59.8
1.9257,59.8
1.934,59.8
1.9424,59.8
1.9507,59.8
1.959,59.8
1.9674,59.8
1.9757,59.8
1.9841,59.8
1.9924,59.8
2.0007,59.8
2.0091,59.8
2.0174,59.8
2.0258,60.0
2.0341,60.0
2.0425,65.0
2.0508,65.0
2.0591,65.0
2.0675,65.0
2.0758,65.0
2.0842,66.1
2.0925,66.1
2.1008,66.1
2.1092,66.1
2.1175,66.1
2.1259,66.1
2.1342,66.1
2.1426,66.1
2.1509,66.1
2.1592,66.2
2.1676,66.7
2.1759,67.1
2.1843,67.5
2.1926,67.9
2.2009,68.3
2.2093,68.8
2.2176,69.2
2.226,69.6
2.2343,70.0
2.2427,70.0
2.251,70.0
2.2593,70.0
2.2677,70.0
2.276,70.0
2.2844,75.1
2.2927,75.1
2.301,75.1
2.3094,75.1
2.3177,75.1
2.3261,75.1
2.3344,75.1
2.3428,75.1
2.3511,79.0
2.3594,79.0
2.3678,79.0
2.3761,79.0
2.3845,79.0
2.3928,79.0
2.4011,79.0
2.4095,79.0
2.4178,79.0
2.4262,79.0
2.4345,79.0
2.4429,79.0
2.4512,79.4
2.4595,79.8
2.4679,80.2
2.4762,80.6
2.4846,81.0
2.4929,81.4
2.5012,81.8
2.5096,82.2
2.5179,82.6
2.5263,83.0
2.5346,83.0
2.543,83.1
2.5513,83.2
2.5596,83.3
2.568,83.4
2.5763,83.5
2.5847,83.6
2.593,83.7
2.6013,83.8
2.6097,83.9
2.618,84.0
2.6264,84.0
2.6347,84.1
2.6431,84.2
2.6514,84.3
2.6597,84.4
2.6681,84.5
2.6764,84.6
2.6848,84.7
2.6931,84.8
2.7014,84.9
2.7098,85.0
2.7181,85.0
2.7265,85.0
2.7348,85.0
2.7432,85.0
2.7515,85.0
2.7598,85.0
2.7682,85.0
2.7765,85.0
2.7849,85.0
2.7932,85.0
2.8015,85.0
2.8099,85.0
2.8182,85.0
2.8266,85.0
2.8349,85.0
2.8433,85.0
2.8516,85.0
2.8599,85.0
2.8683,85.0
2.8766,85.0
2.885,85.0
2.8933,85.0
2.9016,85.0
2.91,85.0
2.9183,85.0
2.9267,85.0
2.935,85.0
2.9434,85.0
2.9517,85.0
2.96,85.0
2.9684,85.0
2.9767,85.0
2.9851,85.0
2.9934,85.0
3.0017,85.0
3.0101,85.0
3.0184,85.0
3.0268,85.0
3.0351,85.0
3.0435,85.0
3.0518,85.0
3.0601,85.0
3.0685,85.0
3.0768,85.0
3.0852,85.0
3.0935,85.0
3.1018,85.0
3.1102,85.0
3.1185,85.0
3.1269,85.0
3.1352,85.0
3.1436,85.0
3.1519,85.0
3.1602,85.0
3.1686,85.0
3.1769,85.0
3.1853,85.0
3.1936,85.0
3.2019,85.0
3.2103,85.0
3.2186,85.0
3.227,85.0
3.2353,85.0
3.2437,85.0
3.252,85.0
3.2603,85.0
3.2687,85.0
3.277,85.0
3.2854,85.0
3.2937,85.0
3.302,85.0
3.3104,85.0
3.3187,85.0
3.3271,85.0
3.3354,85.0
3.3438,85.0
3.3521,85.0
3.3604,85.0
3.3688,85.0
3.3771,85.0
3.3855,85.0
3.3938,85.0
3.4021,85.0
3.4105,85.0
3.4188,85.0
3.4272,85.0
3.4355,85.0
3.4439,85.0
3.4522,85.0
3.4605,85.0
3.4689,85.0
3.4772,85.0
3.4856,85.0
3.4939,85.0
3.5022,85.0
3.5106,85.0
3.5189,85.0
3.5273,85.0
3.5356,85.0
3.544,85.0
3.5523,85.0
3.5606,85.0
3.569,85.0
3.5773,85.0
3.5857,85.0
3.594,85.0
3.6023,85.0
3.6107,85.0
