t_s,weight
0.0071,0.0
0.0154,0.0
0.0237,0.0
0.0321,0.0
0.0404,0.0
0.0488,0.0
0.0571,0.0
0.0655,0.0
0.0738,0.0
0.0821,0.0
0.0905,0.0
0.0988,0.0
0.1072,0.0
0.1155,0.0
0.1238,0.0
0.1322,0.0
0.1405,0.0
0.1489,0.0
0.1572,0.0
0.1656,0.0
0.1739,0.0
0.1822,0.0
0.1906,0.0
0.1989,0.0
0.2073,0.0
0.2156,0.0
0.2239,0.0
0.2323,0.0
0.2406,0.0
0.249,0.0
0.2573,0.0
0.2657,0.0
0.274,0.0
0.2823,0.0
0.2907,0.0
0.299,0.0
0.3074,0.0
0.3157,0.0
0.324,0.0
0.3324,0.0
0.3407,0.0
0.3491,0.0
0.3574,0.0
0.3658,0.0
0.3741,0.0
0.3824,0.0
0.3908,0.0
0.3991,0.0
0.4075,0.0
0.4158,0.0
0.4241,0.0
0.4325,0.0
0.4408,0.0
0.4492,0.0
0.4575,0.0
0.4659,0.0
0.4742,0.0
0.4825,0.0
0.4909,0.0
0.4992,0.0
0.5076,0.0
0.5159,0.0
0.5242,0.0
0.5326,0.0
0.5409,0.0
0.5493,0.0
0.5576,0.0
0.566,0.0
0.5743,0.0
0.5826,0.0
0.591,0.0
0.5993,0.0
0.6077,0.0
0.616,0.0
0.6243,0.0
0.6327,0.0
0.641,0.0
0.6494,0.0
0.6577,0.0
0.6661,0.0
0.6744,0.0
0.6827,0.0
0.6911,0.0
0.6994,0.0
0.7078,0.0
0.7161,0.0
0.7244,0.0
0.7328,0.0
0.7411,0.0
0.7495,0.0
0.7578,0.0
0.7662,0.0
0.7745,0.0
0.7828,0.0
0.7912,0.0
0.7995,0.0
0.8079,0.0
0.8162,0.0
0.8245,0.0
0.8329,0.0
0.8412,0.0
0.8496,0.0
0.8579,0.0
0.8663,0.0
0.8746,0.0
0.8829,0.0
0.8913,0.0
0.8996,0.0
0.908,0.0
0.9163,0.0
0.9246,0.0
0.933,0.0
0.9413,0.0
0.9497,0.0
0.958,0.0
0.9664,0.0
0.9747,0.0
0.983,0.0
0.9914,0.0
0.9997,0.0
1.0081,0.0
1.0164,0.0
1.0247,0.0
1.0331,0.0
1.0414,0.0
1.0498,0.0
1.0581,0.3
1.0665,0.6
1.0748,0.9
1.0831,1.1
1.0915,1.4
1.0998,1.7
1.1082,2.0
1.1165,2.0
1.1248,2.0
1.1332,2.0
1.1415,2.0
1.1499,2.0
1.1582,2.0
1.1666,2.0
1.1749,2.0
1.1832,3.0
1.1916,3.0
1.1999,3.0
1.2083,3.0
1.2166,3.0
1.2249,3.0
1.2333,3.0
1.2416,3.0
1.25,3.0
1.2583,21.8
1.2667,21.8
1.275,21.8
1.2833,21.8
1.2917,21.8
1.3,21.8
1.3084,21.8
1.3167,21.8
1.325,21.8
1.3334,21.8
1.3417,21.8
1.3501,24.0
1.3584,24.0
1.3668,24.0
1.3751,24.0
1.3834,24.0
1.3918,24.0
1.4001,24.0
1.4085,24.0
1.4168,24.0
1.4251,24.0
1.4335,24.0
1.4418,24.0
1.4502,24.0
1.4585,24.0
1.4669,24.0
1.4752,24.0
1.4835,24.0
1.4919,24.0
1.5002,24.0
1.5086,27.0
1.5169,27.0
1.5252,27.0
1.5336,27.0
1.5419,27.0
1.5503,27.0
1.5586,27.0
1.567,27.0
1.5753,27.0
1.5836,33.0
1.592,33.0
1.6003,33.0
1.6087,33.0
1.617,33.0
1.6253,33.0
1.6337,33.0
1.642,33.0
1.6504,33.0
1.6587,38.3
1.6671,38.3
1.6754,38.3
1.6837,38.3
1.6921,38.3
1.7004,38.3
1.7088,38.3
1.7171,38.3
1.7254,38.3
1.7338,38.3
1.7421,38.3
1.7505,39.0
1.7588,40.5
1.7672,42.0
1.7755,43.5
1.7838,45.0
1.7922,46.5
1.8005,48.0
1.8089,48.0
1.8172,48.0
1.8255,48.0
1.8339,48.0
1.8422,48.0
1.8506,48.0
1.8589,48.0
1.8673,48.0
1.8756,48.0
1.8839,48.0
1.8923,48.1
1.9006,48.2
1.909,48.3
1.9173,48.4
1.9256,48.6
1.934,48.7
1.9423,48.8
1.9507,48.9
1.959,49.0
1.9674,49.0
1.9757,49.0
1.984,49.0
1.9924,49.0
2.0007,49.0
2.0091,49.0
2.0174,49.0
2.0257,49.0
2.0341,49.0
2.0424,49.0
2.0508,49.0
2.0591,49.4
2.0675,49.9
2.0758,50.3
2.0841,50.7
2.0925,51.1
2.1008,51.6
2.1092,52.0
2.1175,52.4
2.1258,52.9
2.1342,53.3
2.1425,53.7
2.1509,54.1
2.1592,54.6
2.1676,55.0
2.1759,55.4
2.1842,55.9
2.1926,56.3
2.2009,56.7
2.2093,57.1
2.2176,57.6
2.2259,58.0
2.2343,58.0
2.2426,58.0
2.251,59.7
2.2593,61.3
2.2677,63.0
2.276,64.7
2.2843,65.8
2.2927,65.8
2.301,65.8
2.3094,65.8
2.3177,65.8
2.326,65.8
2.3344,65.8
2.3427,68.1
2.3511,68.1
2.3594,68.1
2.3678,68.1
2.3761,68.1
2.3844,68.1
2.3928,68.1
2.4011,68.1
2.4095,68.1
2.4178,68.1
2.4261,68.1
2.4345,68.1
2.4428,68.1
2.4512,68.6
2.4595,69.1
2.4679,69.7
2.4762,70.3
2.4845,70.9
2.4929,71.4
2.5012,72.0
2.5096,72.0
2.5179,72.0
2.5262,72.0
2.5346,72.0
2.5429,72.0
2.5513,72.0
2.5596,72.0
2.568,72.0
2.5763,73.0
2.5846,73.0
2.593,77.0
2.6013,77.0
2.6097,77.0
2.618,77.0
2.6264,77.0
2.6347,77.0
2.643,77.0
2.6514,84.8
2.6597,84.8
2.6681,84.8
2.6764,84.8
2.6847,84.8
2.6931,84.8
2.7014,84.8
2.7098,84.8
2.7181,84.8
2.7265,84.8
2.7348,84.8
2.7431,87.0
2.7515,87.0
2.7598,87.6
2.7682,87.6
2.7765,87.6
2.7848,87.6
2.7932,87.6
2.8015,87.6
2.8099,87.6
2.8182,87.6
2.8266,87.6
2.8349,88.0
2.8432,88.0
2.8516,88.0
2.8599,88.0
2.8683,88.0
2.8766,88.0
2.8849,89.0
2.8933,90.0
2.9016,90.8
2.91,90.8
2.9183,90.8
2.9267,90.8
2.935,90.8
2.9433,90.8
2.9517,97.5
2.96,97.5
2.9684,97.5
2.9767,97.5
2.985,97.5
2.9934,97.5
3.0017,97.5
3.0101,97.5
3.0184,97.5
3.0268,97.5
3.0351,97.5
3.0434,97.5
3.0518,97.5
3.0601,97.7
3.0685,98.2
3.0768,98.8
3.0851,99.3
3.0935,99.9
3.1018,100.4
3.1102,100.8
3.1185,100.8
3.1269,100.8
3.1352,100.8
3.1435,100.8
3.1519,107.6
3.1602,107.6
3.1686,107.6
3.1769,107.6
3.1852,107.6
3.1936,107.6
3.2019,107.6
3.2103,107.6
3.2186,107.6
3.227,107.6
3.2353,107.6
3.2436,108.0
3.252,108.0
3.2603,108.0
3.2687,108.0
3.277,108.0
3.2853,108.0
3.2937,111.3
3.302,113.2
3.3104,113.2
3.3187,113.2
3.3271,113.2
3.3354,116.8
3.3437,116.8
3.3521,116.8
3.3604,116.8
3.3688,116.8
3.3771,116.8
3.3854,116.8
3.3938,116.8
3.4021,116.8
3.4105,116.8
3.4188,116.8
3.4272,116.8
3.4355,116.8
3.4438,116.8
3.4522,118.0
3.4605,119.5
3.4689,121.0
3.4772,122.5
3.4855,122.5
3.4939,122.5
3.5022,122.5
3.5106,122.5
3.5189,122.5
3.5273,122.5
3.5356,124.0
3.5439,127.0
3.5523,127.4
3.5606,127.4
3.569,127.4
3.5773,127.4
3.5856,127.4
3.594,127.4
3.6023,127.4
3.6107,127.4
