clip_id,trial_id,pour_idx,source_obj,target_obj,weight_g,wallclock_start,duration_s,cam1_window_s,cam2_src,cam3_src,cam1_ocr_csv,flags
0001,5,1,kettle,blue_mug,218,2026-07-13 15:03:48.571,5.013,2.971-7.984,20260713_150345_367_GX011223.mp4,20260713_150345_333_GX011326.mp4,20260713_150345_600_GX011266.csv,
0002,5,2,kettle,blue_mug,98,2026-07-13 15:04:01.119,3.801,15.520-19.321,20260713_150345_367_GX011223.mp4,20260713_150345_333_GX011326.mp4,20260713_150345_600_GX011266.csv,
0003,5,3,kettle,blue_mug,202.5,2026-07-13 15:04:21.562,6.021,35.962-41.983,20260713_150345_367_GX011223.mp4,20260713_150345_333_GX011326.mp4,20260713_150345_600_GX011266.csv,
0004,7,1,kettle,blue_mug,107,2026-07-13 15:44:02.169,4.153,1.744-5.897,20260713_154400_400_GX011225.mp4,20260713_154400_333_GX011328.mp4,20260713_154400_425_GX011268.csv,
0005,7,2,kettle,blue_mug,208,2026-07-13 15:44:12.486,4.836,12.062-16.898,20260713_154400_400_GX011225.mp4,20260713_154400_333_GX011328.mp4,20260713_154400_425_GX011268.csv,
0006,7,3,kettle,blue_mug,243,2026-07-13 15:44:23.766,5.529,23.341-28.870,20260713_154400_400_GX011225.mp4,20260713_154400_333_GX011328.mp4,20260713_154400_425_GX011268.csv,
0007,7,4,kettle,blue_mug,65,2026-07-13 15:44:35.336,3.877,34.911-38.788,20260713_154400_400_GX011225.mp4,20260713_154400_333_GX011328.mp4,20260713_154400_425_GX011268.csv,
0008,7,5,kettle,blue_mug,172,2026-07-13 15:44:45.062,5.412,44.637-50.049,20260713_154400_400_GX011225.mp4,20260713_154400_333_GX011328.mp4,20260713_154400_425_GX011268.csv,
0009,7,6,kettle,blue_mug,21,2026-07-13 15:44:56.624,2.609,56.199-58.808,20260713_154400_400_GX011225.mp4,20260713_154400_333_GX011328.mp4,20260713_154400_425_GX011268.csv,
0010,7,7,kettle,blue_mug,128,2026-07-13 15:45:05.166,4.786,64.741-69.527,20260713_154400_400_GX011225.mp4,20260713_154400_333_GX011328.mp4,20260713_154400_425_GX011268.csv,
0011,7,8,kettle,blue_mug,254,2026-07-13 15:45:15.234,5.67,74.809-80.479,20260713_154400_400_GX011225.mp4,20260713_154400_333_GX011328.mp4,20260713_154400_425_GX011268.csv,
0012,7,9,kettle,blue_mug,192,2026-07-13 15:45:25.863,6.927,85.438-92.365,20260713_154400_400_GX011225.mp4,20260713_154400_333_GX011328.mp4,20260713_154400_425_GX011268.csv,
0013,8,1,kettle,ikea_glass,135,2026-07-13 15:46:59.777,4.211,1.085-5.296,20260713_154658_500_GX011226.mp4,20260713_154658_467_GX011329.mp4,20260713_154658_692_GX011269.csv,
0014,8,2,kettle,ikea_glass,192,2026-07-13 15:47:09.166,4.65,10.475-15.124,20260713_154658_500_GX011226.mp4,20260713_154658_467_GX011329.mp4,20260713_154658_692_GX011269.csv,
